"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Out 21","1.882,00","1.911,00","1.930,00","1.878,00","0,30K","-0,95%"
"Set 21","1.900,00","1.945,00","1.945,00","1.895,00","0,96K","-2,31%"
"Ago 21","1.945,00","1.888,00","1.945,00","1.829,00","0,46K","3,02%"
"Jul 21","1.888,00","1.789,00","1.900,00","1.775,00","2,01K","4,31%"
"Jun 21","1.810,00","1.665,00","1.815,00","1.630,00","0,96K","8,71%"
"Mai 21","1.665,00","1.492,00","1.680,00","1.485,00","1,17K","10,63%"
"Abr 21","1.505,00","1.348,00","1.505,00","1.345,00","1,56K","11,65%"
"Mar 21","1.348,00","1.252,00","1.295,00","1.235,00","0,90K","6,65%"
"Fev 21","1.264,00","1.155,00","1.265,00","1.140,00","0,80K","10,01%"
"Jan 21","1.149,00","1.020,00","1.156,00","1.015,00","2,30K","14,33%"
"Dez 20","1.005,00","805,00","1.015,00","800,00","1,71K","25,63%"
"Nov 20","800,00","702,00","805,00","700,00","0,83K","14,45%"
"Out 20","699,00","628,00","702,00","622,00","1,52K","13,66%"
"Set 20","615,00","521,00","620,00","521,00","0,94K","18,73%"
"Ago 20","518,00","483,00","519,00","447,00","1,25K","7,47%"
"Jul 20","482,00","489,00","492,00","471,00","1,78K","-1,23%"
"Jun 20","488,00","512,00","518,00","485,00","2,30K","-4,87%"
"Mai 20","513,00","471,00","516,00","468,00","1,86K","9,62%"
"Abr 20","468,00","522,00","522,00","452,00","1,44K","-11,20%"
"Mar 20","527,00","585,00","596,00","515,00","1,83K","-10,68%"
"Fev 20","590,00","578,00","590,00","567,00","0,44K","2,08%"
"Jan 20","578,00","586,00","592,00","571,00","0,89K","-1,70%"
"Dez 19","588,00","565,00","615,00","543,00","0,66K","6,91%"
"Nov 19","550,00","490,00","560,00","490,00","0,26K","10,44%"
"Out 19","498,00","529,00","529,00","495,00","0,99K","-4,78%"
"Set 19","523,00","570,00","574,00","523,00","0,54K","-6,61%"
"Ago 19","560,00","602,00","605,00","550,00","0,33K","-7,59%"
"Jul 19","606,00","540,00","606,00","520,00","0,83K","13,06%"
"Jun 19","536,00","578,00","582,00","530,00","0,93K","-8,22%"
"Mai 19","584,00","654,00","654,00","578,00","1,57K","-10,70%"
"Abr 19","654,00","693,00","699,00","649,00","3,24K","-6,17%"
